"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"79","Edgardo   Alfonzo","alfoned01",2000,"NYN","NL",4225000,0.434715821812596,0.125960061443932,651,532181.259600614,1836674.34715822,1304493.0875576,2,43620595,7348271.8129575,16578508.6445103,94,9230236.83155276
"80","Edgardo   Alfonzo","alfoned01",2003,"SFN","NL",4000000,0.350936967632027,0.0936967632027257,587,374787.052810903,1403747.87052811,1028960.81771721,5,46587000,6743251.23462788,20060725.4470557,100,13317474.2124278
"81","Edgardo   Alfonzo","alfoned01",1999,"NYN","NL",2800000,0.398899587345254,0.136176066024759,727,381292.984869326,1116918.84456671,735625.859697387,5,36283928,5769089.56988877,13551268.5902676,97,7782179.02037887
"82","Edgardo   Alfonzo","alfoned01",1996,"NYN","NL",180000,0.32,0.16,400,28800,57600,28800,1,13929500,2468703.05178137,5122879.23107374,71,2654176.17929238
"83","Edgardo   Alfonzo","alfoned01",1997,"NYN","NL",215000,0.399323181049069,0.101522842639594,591,21827.4111675127,85854.4839255499,64027.0727580372,1,23841500,3841083.79566768,9086351.2674732,88,5245267.47180552
"84","Edgardo   Alfonzo","alfoned01",2005,"SFN","NL",7500000,0.338308457711443,0.111940298507463,402,839552.23880597,2537313.43283582,1697761.19402985,2,38106500,5445844.65635194,13279234.8197004,75,7833390.16334845
"85","Edgardo   Alfonzo","alfoned01",1998,"NYN","NL",1750000,0.360890302066773,0.139904610492846,629,244833.06836248,631558.028616852,386724.960254372,5,27382499,5934145.35389644,9442606.52963315,88,3508461.17573671
"86","Luis   Alicea","alicelu01",1993,"SLN","NL",160000,0.381516587677725,0.149289099526066,422,23886.2559241706,61042.654028436,37156.3981042654,1,12386667,1377371.95460335,4591188.29073341,87,3213816.33613006
"87","Luis   Alicea","alicelu01",1999,"TEX","AL",825000,0.321243523316062,0.186528497409326,193,153886.010362694,265025.906735751,111139.896373057,1,48724931,7862538.04363905,18784345.4377752,95,10921807.3941362
"88","Luis   Alicea","alicelu01",1998,"TEX","AL",750000,0.381578947368421,0.134868421052632,304,101151.315789474,286184.210526316,185032.894736842,1,32682595,6077087.01940361,12292163.55384,88,6215076.53443641
"89","Luis   Alicea","alicelu01",1995,"BOS","AL",800000,0.385542168674699,0.142570281124498,498,114056.224899598,308433.734939759,194377.510040161,1,19145768,3720880.39324188,7066989.42840752,86,3346109.03516563
"90","Luis   Alicea","alicelu01",1996,"SLN","NL",750000,0.377483443708609,0.181015452538631,453,135761.589403974,283112.582781457,147350.993377483,1,21126667,3647690.03558272,7517638.17162863,88,3869948.1360459
"91","Luis   Alicea","alicelu01",2002,"KCA","AL",800000,0.324723247232472,0.143911439114391,271,115129.151291513,259778.597785978,144649.446494465,1,29187000,4065728.71404457,10417261.2447224,62,6351532.53067787
